brand_key,n_malls_araneta,n_malls_ayala,n_malls_filinvest,n_malls_fishermall,n_malls_gmall,n_malls_megaworld,n_malls_ortigas,n_malls_robinsons,n_malls_sm,n_malls_starmall,n_malls_waltermart,n_malls_xentro,n_malls_total,n_chains,in_all_chains,in_multiple_chains,display_name
fix bench salon,0,0,1,0,0,0,1,0,1,0,0,0,3,3,False,True,Fix Bench Salon
your mobile,0,0,0,0,0,0,0,1,2,0,0,0,3,2,False,True,YOUR MOBILE
fitness first,0,0,0,0,0,0,0,2,1,0,0,0,3,2,False,True,FITNESS FIRST
exit,0,0,0,0,0,0,3,0,0,0,0,0,3,1,False,False,Exit
sole patrol,0,0,0,0,0,0,0,3,0,0,0,0,3,1,False,False,Sole Patrol
maming gala,0,0,0,1,0,0,0,1,1,0,0,0,3,3,False,True,MAMING GALA
de original jamaican pattie,0,0,0,0,0,3,0,0,0,0,0,0,3,1,False,False,De Original Jamaican Pattie
mamou,0,0,0,0,0,1,0,0,2,0,0,0,3,2,False,True,MAMOU
soban k town grill,0,0,0,0,0,0,0,1,2,0,0,0,3,2,False,True,SOBAN K-TOWN GRILL
digistamps,0,0,1,0,0,0,0,2,0,0,0,0,3,2,False,True,Digistamps
data blitz,0,0,1,0,0,0,1,1,0,0,0,0,3,3,False,True,Data Blitz
sans rival cakes & pastries,0,1,0,0,0,0,0,2,0,0,0,0,3,2,False,True,Sans Rival Cakes & Pastries
market bingo,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,MARKET BINGO
sm skating,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,SM SKATING
xtreme one stop shop appliances,0,0,0,0,0,0,0,2,1,0,0,0,3,2,False,True,XTREME ONE-STOP SHOP APPLIANCES
xtremely xpresso,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,XTREMELY XPRESSO
mr macchiato,0,0,0,0,0,0,0,2,1,0,0,0,3,2,False,True,Mr. Macchiato
smeg,0,1,0,0,0,0,0,1,1,0,0,0,3,3,False,True,SMEG
mr ginger healthy detox drinks,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,MR GINGER HEALTHY DETOX DRINKS
mary grace cafe,0,0,0,0,0,0,0,3,0,0,0,0,3,1,False,False,Mary Grace Cafe
scentsmith,0,3,0,0,0,0,0,0,0,0,0,0,3,1,False,False,SCENTSMITH
yamaha,0,0,0,0,0,1,0,0,2,0,0,0,3,2,False,True,YAMAHA
mr d i y,0,0,1,2,0,0,0,0,0,0,0,0,3,2,False,True,Mr. D.I.Y.
eyestudio optical center,0,0,0,0,0,0,0,0,0,0,3,0,3,1,False,False,Eyestudio Optical Center
scoop proj by paperdolls,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,SCOOP PROJ. BY PAPERDOLLS
mr anthony shoes bags repair,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,MR ANTHONY SHOES BAGS REPAIR
motostyle,0,1,0,0,0,0,0,0,2,0,0,0,3,2,False,True,MOTOSTYLE
mathemagis singapore maths enrichment center,0,3,0,0,0,0,0,0,0,0,0,0,3,1,False,False,MATHEMAGIS SINGAPORE MATHS ENRICHMENT CENTER
dexter time zone,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,DEXTER TIME ZONE
afficionado,0,0,0,0,0,0,0,2,0,1,0,0,3,2,False,True,AFFICIONADO
aetrex,0,1,0,0,0,1,0,0,1,0,0,0,3,3,False,True,AETREX
dhl w express,0,0,0,0,0,0,0,1,2,0,0,0,3,2,False,True,DHL W EXPRESS
maxi mango,0,0,0,0,1,0,0,1,1,0,0,0,3,3,False,True,Maxi Mango
eye level,0,1,0,0,0,1,0,1,0,0,0,0,3,3,False,True,Eye Level
adrianas,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,ADRIANAS
aivee clinic,0,1,0,0,0,1,0,0,1,0,0,0,3,3,False,True,THE AIVEE CLINIC
ey telecom,0,0,0,0,0,0,0,0,0,0,0,3,3,1,False,False,EY TELECOM
santino s pizza,0,0,0,0,3,0,0,0,0,0,0,0,3,1,False,False,Santino\'s Pizza
manila bankers life insurance corporation,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,MANILA BANKERS LIFE INSURANCE CORPORATION
snowplus,0,0,0,0,0,0,0,3,0,0,0,0,3,1,False,False,Snowplus
manila derm,0,3,0,0,0,0,0,0,0,0,0,0,3,1,False,False,MANILA DERM
mos burger,0,2,0,0,0,0,0,1,0,0,0,0,3,2,False,True,MOS BURGER
yi fang,0,0,0,0,0,0,1,2,0,0,0,0,3,2,False,True,YI FANG (0967 442 8345)
santouka,0,0,0,0,0,0,1,0,2,0,0,0,3,2,False,True,SANTOUKA
fat seed cafe roastery,0,3,0,0,0,0,0,0,0,0,0,0,3,1,False,False,THE FAT SEED CAFE + ROASTERY
fat bunny club,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,THE FAT BUNNY CLUB
mrs waffle,0,0,0,0,0,1,0,2,0,0,0,0,3,2,False,True,Mrs. Waffle
smokin toppings,0,0,0,0,2,0,0,0,1,0,0,0,3,2,False,True,Smokin\' Toppings
maple bear,0,0,1,0,0,2,0,0,0,0,0,0,3,2,False,True,Maple Bear
mr zion,0,0,0,0,0,0,0,0,0,0,3,0,3,1,False,False,Mr. Zion
marcel philippe,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,MARCEL PHILIPPE
mr tentacles,0,0,1,0,0,0,0,0,2,0,0,0,3,2,False,True,MR TENTACLES
adidas originals,0,1,0,0,0,1,0,0,1,0,0,0,3,3,False,True,ADIDAS ORIGINALS
sm food hall,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,SM FOOD HALL
deoglow,0,0,0,0,0,0,0,1,2,0,0,0,3,2,False,True,DEOGLOW
deoglow skin innovations,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,DEOGLOW SKIN INNOVATIONS
marina seafood,0,0,0,0,0,0,0,1,2,0,0,0,3,2,False,True,MARINA SEAFOOD
wonderpark,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,WONDERPARK
sky ranch,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,SKY RANCH
empire east,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,EMPIRE EAST
sports basic,0,0,0,0,0,0,0,3,0,0,0,0,3,1,False,False,Sports Basic
esprit,0,1,0,0,0,0,0,0,2,0,0,0,3,2,False,True,ESPRIT
natureal juice,0,0,0,0,2,0,0,0,1,0,0,0,3,2,False,True,Natureal Juice
sep vergara fine jewelry,0,3,0,0,0,0,0,0,0,0,0,0,3,1,False,False,SEP VERGARA FINE JEWELRY
lucky boba milk tea shop,0,3,0,0,0,0,0,0,0,0,0,0,3,1,False,False,LUCKY BOBA MILK TEA SHOP
seoul snow,0,0,1,0,0,0,0,2,0,0,0,0,3,2,False,True,Seoul Snow
momo korean egg drop,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,MOMO KOREAN EGG DROP
seoul good,0,0,0,0,0,0,1,0,2,0,0,0,3,2,False,True,SEOUL GOOD
rox playgrnd,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,ROX PLAYGRND
etam,0,2,0,0,0,0,0,0,1,0,0,0,3,2,False,True,ETAM
etap,0,0,0,0,0,3,0,0,0,0,0,0,3,1,False,False,eTap
anne klein,0,2,0,0,0,0,0,1,0,0,0,0,3,2,False,True,ANNE KLEIN
absidy,0,0,0,0,0,0,0,3,0,0,0,0,3,1,False,False,ABSIDY
meet my feet,0,2,0,0,0,0,1,0,0,0,0,0,3,2,False,True,MEET MY FEET
spruce,0,0,0,0,0,0,0,3,0,0,0,0,3,1,False,False,Spruce
luk yuen,0,1,0,0,0,0,1,0,1,0,0,0,3,3,False,True,LUK YUEN
lulu money,0,2,0,0,0,0,0,1,0,0,0,0,3,2,False,True,LULU MONEY
sportsology,0,3,0,0,0,0,0,0,0,0,0,0,3,1,False,False,SPORTSOLOGY
curaprox,0,3,0,0,0,0,0,0,0,0,0,0,3,1,False,False,CURAPROX
eurobel rugs carpets,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,EUROBEL RUGS CARPETS
whey king,0,0,0,0,0,3,0,0,0,0,0,0,3,1,False,False,Whey King
sports central outlet,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,SPORTS CENTRAL OUTLET
mega one phones gadgets shop,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,MEGA ONE PHONES GADGETS SHOP
croffle store,0,0,0,0,0,0,0,3,0,0,0,0,3,1,False,False,The Croffle Store
esgen dental,0,0,0,0,0,0,0,0,0,1,2,0,3,2,False,True,Esgen Dental
rock n sole shoes and apparel,0,3,0,0,0,0,0,0,0,0,0,0,3,1,False,False,ROCK N' SOLE SHOES AND APPAREL
mobile mob,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,MOBILE MOB
mobile pro,0,0,0,0,0,0,0,1,2,0,0,0,3,2,False,True,MOBILE PRO
lock & lock,0,2,0,0,0,1,0,0,0,0,0,0,3,2,False,True,LOCK & LOCK
game one,0,0,0,0,0,0,1,0,2,0,0,0,3,2,False,True,Game One
diagold jewelry store,0,3,0,0,0,0,0,0,0,0,0,0,3,1,False,False,DIAGOLD JEWELRY STORE
eng bee tin chinese deli,0,3,0,0,0,0,0,0,0,0,0,0,3,1,False,False,ENG BEE TIN CHINESE DELI
mercury,0,0,0,0,0,0,0,0,0,0,0,3,3,1,False,False,MERCURY
nexscents,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,NEXSCENTS
cqe,0,0,0,0,0,0,0,2,1,0,0,0,3,2,False,True,CQE
craft central,0,1,0,0,0,0,0,0,2,0,0,0,3,2,False,True,THE CRAFT CENTRAL
furniture source,0,1,1,0,0,0,0,0,1,0,0,0,3,3,False,True,FURNITURE SOURCE
eo optical,0,0,1,0,0,0,0,2,0,0,0,0,3,2,False,True,EO OPTICAL
a1 driving,0,0,0,0,1,0,0,1,1,0,0,0,3,3,False,True,A1 Driving
gadget phone care,0,0,0,0,0,0,0,0,0,0,3,0,3,1,False,False,Gadget Phone Care
gadget master,0,0,0,0,0,0,0,0,2,0,1,0,3,2,False,True,GADGET MASTER
abaca baking company,0,0,0,0,0,0,0,2,1,0,0,0,3,2,False,True,ABACA BAKING COMPANY
longines,0,0,0,0,0,1,1,0,1,0,0,0,3,3,False,True,Longines
gadget armor,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,GADGET ARMOR
louies buko,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,LOUIES BUKO
modern shang,0,0,0,0,0,0,1,0,2,0,0,0,3,2,False,True,MODERN SHANG
royce,0,2,0,0,0,0,0,1,0,0,0,0,3,2,False,True,ROYCE
ysl,0,0,0,0,0,1,0,2,0,0,0,0,3,2,False,True,YSL
fone edge,0,0,0,0,0,0,0,1,2,0,0,0,3,2,False,True,FONE EDGE
sports barber,0,2,0,0,0,0,0,1,0,0,0,0,3,2,False,True,SPORTS BARBER
daily by bos coffee,0,0,0,0,0,2,0,0,1,0,0,0,3,2,False,True,Daily by Bo's Coffee
spa wellness,0,0,0,0,0,0,1,1,1,0,0,0,3,3,False,True,THE SPA WELLNESS
daily detox juices,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,DAILY DETOX JUICES
spa,0,3,0,0,0,0,0,0,0,0,0,0,3,1,False,False,THE SPA
everlove,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,EVERLOVE
seiko premium store,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,SEIKO PREMIUM STORE
dairy blast,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,DAIRY BLAST
macho mucho salon for men,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,MACHO MUCHO SALON FOR MEN
s&r pizza,0,0,0,0,0,3,0,0,0,0,0,0,3,1,False,False,S&R Pizza
ysa skin care center,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,YSA SKIN CARE CENTER
nacho king,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,NACHO KING
womens secret,0,3,0,0,0,0,0,0,0,0,0,0,3,1,False,False,WOMEN'S SECRET
foot for the gods,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,FOOT FOR THE GODS
fonetwist,0,0,0,0,0,0,0,3,0,0,0,0,3,1,False,False,Fonetwist
sky cable,0,0,0,0,3,0,0,0,0,0,0,0,3,1,False,False,Sky Cable
fonedress cellphone accessories shop,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,FONEDRESS CELLPHONE ACCESSORIES SHOP
