chain,mall_id,mall_name,region,address,mall_code,source_url,property_type,scraped_at
robinsons,robinsons-palawan,Robinsons Place Palawan,south-luzon,"National Highway, Barangay. San Manuel, Puerto Princesa City, Palawan",,https://robinsonsmalls.com/mall-info/robinsons-place-palawan,mall,2026-07-26
robinsons,robinsons-sta-rosa,Robinsons Sta. Rosa,south-luzon,"Old National Highway, Barangay Tagapo, Santa Rosa, Laguna",,https://robinsonsmalls.com/mall-info/robinsons-sta-rosa,mall,2026-07-26
robinsons,robinsons-tagaytay,Robinsons Tagaytay,south-luzon,"Tagaytay Nasugbu Road, Maharlika West, KM 58 Gen. E. Aguinaldo Highway, Tagaytay City",,https://robinsonsmalls.com/mall-info/robinsons-tagaytay,mall,2026-07-26
robinsons,robinsons-los-banos,Robinsons Town Mall Los Banos,south-luzon,"Lopez Avenue, Los Baños, Laguna",,https://robinsonsmalls.com/mall-info/robinsons-town-mall-los-banos,mall,2026-07-26
robinsons,cybergate-bacolod,Robinsons Cybergate Bacolod,visayas,,,https://robinsonsmalls.com/mall-info/cybergate-bacolod,mall,2026-07-26
robinsons,robinsons-cybergate-cebu,Robinsons Cybergate Cebu,visayas,"Don Gil Garcia Street, Capitol Site, Cebu City",,https://robinsonsmalls.com/mall-info/robinsons-cybergate-cebu,mall,2026-07-26
robinsons,robinsons-fuente,Robinsons Fuente,visayas,"Sta. Cruz, Fuente Osmeña Boulevard, Cebu City",,https://robinsonsmalls.com/mall-info/robinsons-fuente,mall,2026-07-26
robinsons,robinsons-galleria-cebu,Robinsons Galleria Cebu,visayas,"General Maxilom Avenue cor. Sergio Osmena Blvd., Brgy Tejero, Cebu City",,https://robinsonsmalls.com/mall-info/robinsons-galleria-cebu,mall,2026-07-26
robinsons,robinsons-north-tacloban,Robinsons North Tacloban,visayas,"Tacloban City, Leyte",,https://robinsonsmalls.com/mall-info/robinsons-north-tacloban,mall,2026-07-26
robinsons,robinsons-antique,Robinsons Place Antique,visayas,"National Highway, Brgy.San Angel, San Jose de Buenavista, Antique",,https://robinsonsmalls.com/mall-info/robinsons-place-antique,mall,2026-07-26
