brand_key,n_malls_araneta,n_malls_ayala,n_malls_filinvest,n_malls_fishermall,n_malls_megaworld,n_malls_ortigas,n_malls_robinsons,n_malls_sm,n_malls_starmall,n_malls_waltermart,n_malls_total,n_chains,in_all_chains,in_multiple_chains,display_name
bisen,2,0,1,0,0,0,0,30,0,0,33,3,False,True,BISEN
pancake house,0,10,1,1,2,1,3,15,0,0,33,7,False,True,PANCAKE HOUSE
payless shoesource,0,8,1,0,0,0,0,24,0,0,33,3,False,True,PAYLESS SHOESOURCE
quickly,0,4,0,0,0,1,7,21,0,0,33,4,False,True,QUICKLY
sm foodcourt,0,0,0,0,0,0,0,33,0,0,33,1,False,False,SM FOODCOURT
casio,0,6,1,0,0,0,6,19,0,0,32,4,False,True,CASIO
cebuana lhuillier,0,8,1,1,4,0,16,0,1,1,32,7,False,True,Cebuana Lhuillier
bench body,2,0,0,0,0,0,0,28,1,1,32,4,False,True,BENCH BODY
j co donuts coffee,0,0,0,0,0,0,0,32,0,0,32,1,False,False,J CO DONUTS COFFEE
pepper lunch,0,7,0,2,5,0,4,14,0,0,32,5,False,True,PEPPER LUNCH
national book store,0,0,0,1,0,0,31,0,0,0,32,2,False,True,National Book Store
vans,1,11,1,0,1,1,9,8,0,0,32,7,False,True,VANS
chingu buko house,0,4,0,0,0,0,12,12,0,4,32,4,False,True,CHINGU BUKO HOUSE
gerrys grill,0,11,1,1,3,1,15,0,0,0,32,6,False,True,GERRY'S GRILL
healthy options,0,13,1,0,2,1,1,13,0,0,31,6,False,True,HEALTHY OPTIONS
gerrys restaurant,0,0,0,0,0,0,0,31,0,0,31,1,False,False,GERRY'S RESTAURANT
scents co,0,10,0,1,0,0,14,6,0,0,31,4,False,True,THE SCENTS CO.
beautederm,0,3,0,0,0,0,6,22,0,0,31,3,False,True,BEAUTEDERM
fully booked,1,9,0,0,1,1,0,19,0,0,31,5,False,True,FULLY BOOKED
imono,2,0,1,2,1,0,4,21,0,0,31,6,False,True,IMONO
mossimo,0,1,1,0,0,0,2,27,0,0,31,4,False,True,MOSSIMO
vibes massage,0,0,1,0,0,0,11,18,1,0,31,4,False,True,VIBES MASSAGE
ramen kuroda,0,6,1,0,4,0,2,18,0,0,31,5,False,True,RAMEN KURODA
sbarro,0,5,1,1,2,2,4,15,0,0,30,7,False,True,SBARRO
banh mi kitchen,0,4,0,1,3,0,1,21,0,0,30,5,False,True,BANH MI KITCHEN
kidzooona,0,4,0,0,0,0,4,22,0,0,30,3,False,True,KIDZOOONA
asprey time,0,0,0,0,0,0,0,30,0,0,30,1,False,False,ASPREY TIME
yellow cab,0,6,0,1,1,0,1,21,0,0,30,5,False,True,YELLOW CAB
mesa,0,9,1,1,2,1,4,12,0,0,30,7,False,True,MESA
sumo niku unlimited japanese barbeque,0,4,0,0,0,0,0,26,0,0,30,2,False,True,SUMO NIKU UNLIMITED JAPANESE BARBEQUE
coffee bean tea leaf,0,0,0,0,0,0,0,30,0,0,30,1,False,False,THE COFFEE BEAN TEA LEAF
tokyo,0,8,1,0,5,2,6,7,0,0,29,6,False,True,@TOKYO
happy brows,0,7,0,0,1,0,3,18,0,0,29,4,False,True,HAPPY BROWS
lenovo,0,3,1,0,0,1,3,21,0,0,29,5,False,True,LENOVO
bdo atm,0,0,1,0,12,0,8,6,1,1,29,6,False,True,BDO ATM
alibaba,0,0,1,0,0,0,2,23,0,3,29,4,False,True,ALIBABA
aldo,0,11,0,0,3,1,2,12,0,0,29,5,False,True,ALDO
gubys chicharon espesyal,0,0,0,0,0,0,0,29,0,0,29,1,False,False,GUBY'S CHICHARON ESPESYAL
paotsin,0,4,0,1,4,0,15,0,1,4,29,6,False,True,Paotsin
anker,0,5,0,0,4,1,2,17,0,0,29,5,False,True,ANKER
happy skin,1,7,1,0,2,0,2,16,0,0,29,6,False,True,HAPPY SKIN
pan de manila,0,3,1,0,9,0,6,9,0,1,29,6,False,True,Pan De Manila
s&r new york style pizza,0,8,1,0,0,0,8,12,0,0,29,4,False,True,S&R NEW YORK STYLE PIZZA
serenitea,0,6,0,0,3,2,4,13,0,0,28,5,False,True,SERENITEA
sm hypermarket,0,0,0,0,1,0,0,27,0,0,28,2,False,True,SM HYPERMARKET
buko ni fruitas,0,3,1,1,1,0,3,19,0,0,28,6,False,True,BUKO NI FRUITAS
medical city clinic,0,6,1,1,0,0,0,20,0,0,28,4,False,True,THE MEDICAL CITY CLINIC
ramen nagi,0,7,1,0,1,2,5,12,0,0,28,6,False,True,RAMEN NAGI
bench fix salon,0,0,0,0,0,0,2,26,0,0,28,2,False,True,BENCH FIX SALON
bioessence,1,3,0,0,1,1,2,20,0,0,28,6,False,True,BIOESSENCE
mary grace,0,4,0,0,7,2,7,6,0,2,28,6,False,True,Mary Grace
